ALGORITMA: FCFS
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P001]	0,0		1,0	1
[P002]	2,0		4,0	2
[P003]	4,0		7,0	3
[P004]	7,0		11,0	4
[P005]	11,0		16,0	5
[P006]	16,0		22,0	6
[P007]	22,0		29,0	7
[P008]	29,0		37,0	8
[P009]	37,0		46,0	9
[P010]	46,0		56,0	10
[P011]	56,0		67,0	11
[P012]	67,0		79,0	12
[P013]	79,0		92,0	13
[P014]	92,0		106,0	14
[P015]	106,0		121,0	15
[P016]	121,0		137,0	16
[P017]	137,0		154,0	17
[P018]	154,0		172,0	18
[P019]	172,0		191,0	19
[P020]	191,0		211,0	20
[P021]	211,0		212,0	1
[P022]	212,0		214,0	2
[P023]	214,0		217,0	3
[P024]	217,0		221,0	4
[P025]	221,0		226,0	5
[P026]	226,0		232,0	6
[P027]	232,0		239,0	7
[P028]	239,0		247,0	8
[P029]	247,0		256,0	9
[P030]	256,0		266,0	10
[P031]	266,0		277,0	11
[P032]	277,0		289,0	12
[P033]	289,0		302,0	13
[P034]	302,0		316,0	14
[P035]	316,0		331,0	15
[P036]	331,0		347,0	16
[P037]	347,0		364,0	17
[P038]	364,0		382,0	18
[P039]	382,0		401,0	19
[P040]	401,0		421,0	20
[P041]	421,0		422,0	1
[P042]	422,0		424,0	2
[P043]	424,0		427,0	3
[P044]	427,0		431,0	4
[P045]	431,0		436,0	5
[P046]	436,0		442,0	6
[P047]	442,0		449,0	7
[P048]	449,0		457,0	8
[P049]	457,0		466,0	9
[P050]	466,0		476,0	10
[P051]	476,0		487,0	11
[P052]	487,0		499,0	12
[P053]	499,0		512,0	13
[P054]	512,0		526,0	14
[P055]	526,0		541,0	15
[P056]	541,0		557,0	16
[P057]	557,0		574,0	17
[P058]	574,0		592,0	18
[P059]	592,0		611,0	19
[P060]	611,0		631,0	20
[P061]	631,0		632,0	1
[P062]	632,0		634,0	2
[P063]	634,0		637,0	3
[P064]	637,0		641,0	4
[P065]	641,0		646,0	5
[P066]	646,0		652,0	6
[P067]	652,0		659,0	7
[P068]	659,0		667,0	8
[P069]	667,0		676,0	9
[P070]	676,0		686,0	10
[P071]	686,0		697,0	11
[P072]	697,0		709,0	12
[P073]	709,0		722,0	13
[P074]	722,0		736,0	14
[P075]	736,0		751,0	15
[P076]	751,0		767,0	16
[P077]	767,0		784,0	17
[P078]	784,0		802,0	18
[P079]	802,0		821,0	19
[P080]	821,0		841,0	20
[P081]	841,0		842,0	1
[P082]	842,0		844,0	2
[P083]	844,0		847,0	3
[P084]	847,0		851,0	4
[P085]	851,0		856,0	5
[P086]	856,0		862,0	6
[P087]	862,0		869,0	7
[P088]	869,0		877,0	8
[P089]	877,0		886,0	9
[P090]	886,0		896,0	10
[P091]	896,0		907,0	11
[P092]	907,0		919,0	12
[P093]	919,0		932,0	13
[P094]	932,0		946,0	14
[P095]	946,0		961,0	15
[P096]	961,0		977,0	16
[P097]	977,0		994,0	17
[P098]	994,0		1012,0	18
[P099]	1012,0		1031,0	19
[P100]	1031,0		1051,0	20
[P101]	1051,0		1052,0	1
