ALGORITMA: SJF Preemptive
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P001]	0,0		1,0	1
[P002]	2,0		4,0	2
[P003]	4,0		7,0	3
[P004]	7,0		11,0	4
[P005]	11,0		16,0	5
[P006]	16,0		22,0	6
[P007]	22,0		29,0	7
[P008]	29,0		37,0	8
[P021]	40,0		41,0	1
[P022]	42,0		44,0	2
[P023]	44,0		47,0	3
[P024]	47,0		51,0	4
[P025]	51,0		56,0	5
[P009]	37,0		61,0	9
[P026]	61,0		67,0	6
[P027]	67,0		74,0	7
[P041]	80,0		81,0	1
[P028]	74,0		83,0	8
[P042]	83,0		85,0	2
[P043]	85,0		88,0	3
[P044]	88,0		92,0	4
[P045]	92,0		97,0	5
[P046]	97,0		103,0	6
[P047]	103,0		110,0	7
[P048]	110,0		118,0	8
[P061]	120,0		121,0	1
[P062]	122,0		124,0	2
[P063]	124,0		127,0	3
[P064]	127,0		131,0	4
[P065]	131,0		136,0	5
[P066]	136,0		142,0	6
[P029]	118,0		148,0	9
[P067]	148,0		155,0	7
[P081]	160,0		161,0	1
[P082]	162,0		164,0	2
[P068]	155,0		166,0	8
[P083]	166,0		169,0	3
[P084]	169,0		173,0	4
[P085]	173,0		178,0	5
[P086]	178,0		184,0	6
[P087]	184,0		191,0	7
[P088]	191,0		199,0	8
[P101]	200,0		201,0	1
[P102]	202,0		204,0	2
[P103]	204,0		207,0	3
[P104]	207,0		211,0	4
[P105]	211,0		216,0	5
[P106]	216,0		222,0	6
[P107]	222,0		229,0	7
[P049]	199,0		236,0	9
[P121]	240,0		241,0	1
[P122]	242,0		244,0	2
[P123]	244,0		247,0	3
[P108]	236,0		250,0	8
[P124]	250,0		254,0	4
[P125]	254,0		259,0	5
[P126]	259,0		265,0	6
[P127]	265,0		272,0	7
[P128]	272,0		280,0	8
[P141]	280,0		281,0	1
[P142]	282,0		284,0	2
[P143]	284,0		287,0	3
[P144]	287,0		291,0	4
[P145]	291,0		296,0	5
[P146]	296,0		302,0	6
[P147]	302,0		309,0	7
[P148]	309,0		317,0	8
[P161]	320,0		321,0	1
[P162]	322,0		324,0	2
[P163]	324,0		327,0	3
[P164]	327,0		331,0	4
[P069]	281,0		335,0	9
[P165]	335,0		340,0	5
[P166]	340,0		346,0	6
[P167]	346,0		353,0	7
[P181]	360,0		361,0	1
[P168]	353,0		362,0	8
[P182]	362,0		364,0	2
[P183]	364,0		367,0	3
[P184]	367,0		371,0	4
[P185]	371,0		376,0	5
[P186]	376,0		382,0	6
[P187]	382,0		389,0	7
[P188]	389,0		397,0	8
[P089]	397,0		406,0	9
[P109]	406,0		415,0	9
[P129]	415,0		424,0	9
[P149]	424,0		433,0	9
[P169]	433,0		442,0	9
[P189]	442,0		451,0	9
[P010]	451,0		461,0	10
[P030]	461,0		471,0	10
[P050]	471,0		481,0	10
[P070]	481,0		491,0	10
[P090]	491,0		501,0	10
[P110]	501,0		511,0	10
[P130]	511,0		521,0	10
[P150]	521,0		531,0	10
[P170]	531,0		541,0	10
[P190]	541,0		551,0	10
[P011]	551,0		562,0	11
[P031]	562,0		573,0	11
