ALGORITMA: Round Robin
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P001]	0,0		1,0	1
[P002]	2,0		4,0	2
[P003]	4,0		7,0	3
[P004]	7,0		11,0	4
[P005]	11,0		16,0	5
[P006]	16,0		47,0	6
[P007]	21,0		64,0	7
[P008]	26,0		77,0	8
[P009]	31,0		96,0	9
[P021]	101,0		102,0	1
[P010]	36,0		107,0	10
[P022]	107,0		109,0	2
[P023]	109,0		112,0	3
[P024]	112,0		116,0	4
[P025]	121,0		126,0	5
[P041]	226,1		227,1	1
[P042]	227,1		229,1	2
[P043]	234,1		237,1	3
[P044]	237,1		241,1	4
[P045]	246,1		251,1	5
[P061]	336,1		337,1	1
[P011]	41,0		338,1	11
[P062]	338,1		340,1	2
[P063]	340,1		343,1	3
[P064]	343,1		347,1	4
[P065]	347,1		352,1	5
[P026]	126,0		358,1	6
[P027]	131,0		375,1	7
[P012]	47,0		387,1	12
[P028]	141,0		405,1	8
[P029]	146,0		419,1	9
[P013]	52,0		437,1	13
[P081]	442,1		443,1	1
[P030]	156,0		448,1	10
[P082]	448,1		450,1	2
[P083]	450,1		453,1	3
[P084]	453,1		457,1	4
[P085]	462,1		467,1	5
[P014]	57,0		496,1	14
[P015]	64,0		566,1	15
[P101]	571,1		572,1	1
[P102]	577,1		579,1	2
[P103]	579,1		582,1	3
[P104]	582,1		586,1	4
[P105]	591,1		596,1	5
[P121]	696,2		697,2	1
[P122]	697,2		699,2	2
[P123]	699,2		702,2	3
[P124]	702,2		706,2	4
[P125]	711,2		716,2	5
[P046]	251,1		737,2	6
[P047]	256,1		749,2	7
[P048]	266,1		782,2	8
[P049]	271,1		801,2	9
[P141]	806,2		807,2	1
[P050]	276,1		812,2	10
[P142]	812,2		814,2	2
[P143]	814,2		817,2	3
[P144]	817,2		821,2	4
[P145]	826,2		831,2	5
[P161]	936,2		937,2	1
[P162]	942,2		944,2	2
[P163]	944,2		947,2	3
[P164]	947,2		951,2	4
[P165]	956,2		961,2	5
[P066]	352,1		1042,2	6
[P181]	1047,2		1048,2	1
[P182]	1048,2		1050,2	2
[P067]	358,1		1052,2	7
[P183]	1052,2		1055,2	3
[P184]	1055,2		1059,2	4
[P185]	1059,2		1064,2	5
[P068]	363,1		1067,2	8
[P069]	368,1		1081,2	9
[P070]	375,1		1106,2	10
[P031]	161,0		1202,3	11
[P086]	467,1		1203,3	6
[P032]	166,0		1205,3	12
[P087]	477,1		1207,3	7
[P088]	482,1		1210,3	8
[P089]	487,1		1214,3	9
[P090]	496,1		1219,3	10
[P033]	176,0		1227,3	13
[P034]	181,0		1246,3	14
[P035]	186,0		1261,3	15
[P106]	596,1		1292,3	6
[P107]	606,1		1299,3	7
[P108]	611,1		1302,3	8
[P109]	616,1		1306,3	9
[P016]	69,0		1307,3	16
[P110]	626,1		1312,3	10
[P017]	77,0		1364,3	17
[P018]	82,0		1377,3	18
[P126]	716,2		1378,3	6
[P127]	721,2		1380,3	7
[P128]	726,2		1383,3	8
[P129]	731,2		1387,3	9
[P130]	737,2		1392,3	10
[P019]	87,0		1416,3	19
