ALGORITMA: SJF Non-Preemptive
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P001]	0,0		1,0	1
[P002]	2,0		4,0	2
[P003]	4,0		7,0	3
[P004]	7,0		11,0	4
[P005]	11,0		16,0	5
[P006]	16,0		22,0	6
[P007]	22,0		29,0	7
[P008]	29,0		37,0	8
[P009]	37,0		46,0	9
[P021]	46,0		47,0	1
[P022]	47,0		49,0	2
[P023]	49,0		52,0	3
[P024]	52,0		56,0	4
[P025]	56,0		61,0	5
[P026]	61,0		67,0	6
[P027]	67,0		74,0	7
[P028]	74,0		82,0	8
[P041]	82,0		83,0	1
[P042]	83,0		85,0	2
[P043]	85,0		88,0	3
[P044]	88,0		92,0	4
[P045]	92,0		97,0	5
[P046]	97,0		103,0	6
[P047]	103,0		110,0	7
[P048]	110,0		118,0	8
[P029]	118,0		127,0	9
[P061]	127,0		128,0	1
[P062]	128,0		130,0	2
[P063]	130,0		133,0	3
[P064]	133,0		137,0	4
[P065]	137,0		142,0	5
[P066]	142,0		148,0	6
[P067]	148,0		155,0	7
[P068]	155,0		163,0	8
[P081]	163,0		164,0	1
[P082]	164,0		166,0	2
[P083]	166,0		169,0	3
[P084]	169,0		173,0	4
[P085]	173,0		178,0	5
[P086]	178,0		184,0	6
[P087]	184,0		191,0	7
[P088]	191,0		199,0	8
[P049]	199,0		208,0	9
[P101]	208,0		209,0	1
[P102]	209,0		211,0	2
[P103]	211,0		214,0	3
[P104]	214,0		218,0	4
[P105]	218,0		223,0	5
[P106]	223,0		229,0	6
[P107]	229,0		236,0	7
[P108]	236,1		244,1	8
[P121]	244,1		245,1	1
[P122]	245,1		247,1	2
[P123]	247,1		250,1	3
[P124]	250,1		254,1	4
[P125]	254,1		259,1	5
[P126]	259,1		265,1	6
[P127]	265,1		272,1	7
[P128]	272,1		280,1	8
[P141]	280,1		281,1	1
[P069]	281,1		290,1	9
[P142]	290,1		292,1	2
[P143]	292,1		295,1	3
[P144]	295,1		299,1	4
[P145]	299,1		304,1	5
[P146]	304,1		310,1	6
[P147]	310,1		317,1	7
[P148]	317,1		325,1	8
[P161]	325,1		326,1	1
[P162]	326,1		328,1	2
[P163]	328,1		331,1	3
[P164]	331,1		335,1	4
[P165]	335,1		340,1	5
[P166]	340,1		346,1	6
[P167]	346,1		353,1	7
[P168]	353,1		361,1	8
[P181]	361,1		362,1	1
[P182]	362,1		364,1	2
[P183]	364,1		367,1	3
[P184]	367,1		371,1	4
[P185]	371,1		376,1	5
[P186]	376,1		382,1	6
[P187]	382,1		389,1	7
[P188]	389,1		397,1	8
[P089]	397,1		406,1	9
[P109]	406,1		415,1	9
[P129]	415,1		424,1	9
[P149]	424,1		433,1	9
[P169]	433,1		442,1	9
[P189]	442,1		451,1	9
[P010]	451,1		461,1	10
[P030]	461,1		471,1	10
[P050]	471,1		481,1	10
[P070]	481,1		491,1	10
[P090]	491,1		501,1	10
[P110]	501,1		511,1	10
[P130]	511,1		521,1	10
[P150]	521,1		531,1	10
[P170]	531,1		541,1	10
[P190]	541,1		551,1	10
[P011]	551,1		562,1	11
[P031]	562,1		573,1	11
