ALGORITMA: SJF Non-Preemptive
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P001]	0,0		4,0	4
[P002]	4,0		11,0	7
[P003]	11,0		21,0	10
[P007]	21,0		23,0	2
[P008]	23,0		28,0	5
[P014]	28,0		31,0	3
[P015]	31,0		37,0	6
[P009]	37,0		45,0	8
[P020]	45,0		46,0	1
[P021]	46,0		50,0	4
[P022]	50,0		57,0	7
[P027]	57,0		59,0	2
[P028]	59,0		64,0	5
[P029]	64,0		72,0	8
[P034]	72,0		75,0	3
[P035]	75,0		81,0	6
[P040]	81,0		82,0	1
[P041]	82,0		86,0	4
[P042]	86,0		93,0	7
[P047]	93,0		95,0	2
[P048]	95,0		100,0	5
[P049]	100,0		108,0	8
[P054]	108,0		111,0	3
[P055]	111,0		117,0	6
[P016]	117,0		126,0	9
[P060]	126,0		127,0	1
[P061]	127,0		131,0	4
[P062]	131,0		138,0	7
[P067]	138,0		140,0	2
[P068]	140,0		145,0	5
[P069]	145,0		153,0	8
[P074]	153,0		156,0	3
[P075]	156,0		162,0	6
[P080]	162,0		163,0	1
[P081]	163,0		167,0	4
[P082]	167,0		174,0	7
[P087]	174,0		176,0	2
[P088]	176,0		181,0	5
[P089]	181,0		189,0	8
[P094]	189,0		192,0	3
[P095]	192,0		198,0	6
[P100]	198,0		199,0	1
[P036]	199,0		208,0	9
[P056]	208,0		217,0	9
[P076]	217,0		226,0	9
[P096]	226,0		235,0	9
[P023]	235,0		245,0	10
[P043]	245,0		255,0	10
[P063]	255,0		265,0	10
[P083]	265,0		275,0	10
[P010]	275,1		286,1	11
[P030]	286,1		297,1	11
[P050]	297,1		308,1	11
[P070]	308,1		319,1	11
[P090]	319,1		330,1	11
[P017]	330,1		342,1	12
[P037]	342,1		354,1	12
[P057]	354,1		366,1	12
[P077]	366,1		378,1	12
[P097]	378,1		390,1	12
[P004]	390,1		403,1	13
[P024]	403,1		416,1	13
[P044]	416,1		429,1	13
[P064]	429,1		442,1	13
[P084]	442,1		455,1	13
[P011]	455,1		469,1	14
[P031]	469,1		483,1	14
[P051]	483,1		497,1	14
[P071]	497,1		511,1	14
[P091]	511,1		525,1	14
[P018]	525,1		540,1	15
[P038]	540,1		555,1	15
[P058]	555,1		570,1	15
[P078]	570,1		585,1	15
[P098]	585,1		600,1	15
[P005]	600,1		616,1	16
[P025]	616,1		632,1	16
[P045]	632,1		648,1	16
[P065]	648,1		664,1	16
[P085]	664,1		680,1	16
[P012]	680,1		697,1	17
[P032]	697,1		714,1	17
[P052]	714,1		731,1	17
[P072]	731,1		748,1	17
[P092]	748,1		765,1	17
[P019]	765,1		783,1	18
[P039]	783,1		801,1	18
[P059]	801,1		819,1	18
[P079]	819,1		837,1	18
[P099]	837,1		855,1	18
[P006]	855,1		874,1	19
[P026]	874,1		893,1	19
[P046]	893,1		912,1	19
[P066]	912,1		931,1	19
[P086]	931,1		950,1	19
[P013]	950,1		970,1	20
[P033]	970,1		990,1	20
[P053]	990,1		1010,1	20
[P073]	1010,1		1030,1	20
[P093]	1030,1		1050,1	20
--------------------------------------------------
b) Bekleme Suresi (WT) -> Ort: 268,4395, Max: 926,0950
c) Turnaround Time (TAT) -> Ort: 278,9395, Max: 946,0950
d) Throughput -> T=50:9, T=100:20, T=150:30, T=200:42
e) CPU Verimliligi: %99,98
f) Toplam Baglam Degistirme (CS): 99
