ALGORITMA: FCFS
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P001]	0,0		4,0	4
[P002]	4,0		11,0	7
[P003]	11,0		21,0	10
[P004]	21,0		34,0	13
[P005]	34,0		50,0	16
[P006]	50,0		69,0	19
[P007]	69,0		71,0	2
[P008]	71,0		76,0	5
[P009]	76,0		84,0	8
[P010]	84,0		95,0	11
[P011]	95,0		109,0	14
[P012]	109,0		126,0	17
[P013]	126,0		146,0	20
[P014]	146,0		149,0	3
[P015]	149,0		155,0	6
[P016]	155,0		164,0	9
[P017]	164,0		176,0	12
[P018]	176,0		191,0	15
[P019]	191,0		209,0	18
[P020]	209,0		210,0	1
[P021]	210,0		214,0	4
[P022]	214,0		221,0	7
[P023]	221,0		231,0	10
[P024]	231,0		244,0	13
[P025]	244,0		260,0	16
[P026]	260,0		279,0	19
[P027]	279,0		281,0	2
[P028]	281,0		286,0	5
[P029]	286,0		294,0	8
[P030]	294,0		305,0	11
[P031]	305,0		319,0	14
[P032]	319,0		336,0	17
[P033]	336,0		356,0	20
[P034]	356,0		359,0	3
[P035]	359,0		365,0	6
[P036]	365,0		374,0	9
[P037]	374,0		386,0	12
[P038]	386,0		401,0	15
[P039]	401,0		419,0	18
[P040]	419,0		420,0	1
[P041]	420,0		424,0	4
[P042]	424,0		431,0	7
[P043]	431,0		441,0	10
[P044]	441,0		454,0	13
[P045]	454,0		470,0	16
[P046]	470,0		489,0	19
[P047]	489,0		491,0	2
[P048]	491,0		496,0	5
[P049]	496,0		504,0	8
[P050]	504,0		515,0	11
[P051]	515,0		529,0	14
[P052]	529,0		546,0	17
[P053]	546,0		566,0	20
[P054]	566,0		569,0	3
[P055]	569,0		575,0	6
[P056]	575,0		584,0	9
[P057]	584,0		596,0	12
[P058]	596,0		611,0	15
[P059]	611,0		629,0	18
[P060]	629,0		630,0	1
[P061]	630,0		634,0	4
[P062]	634,0		641,0	7
[P063]	641,0		651,0	10
[P064]	651,0		664,0	13
[P065]	664,0		680,0	16
[P066]	680,0		699,0	19
[P067]	699,0		701,0	2
[P068]	701,0		706,0	5
[P069]	706,0		714,0	8
[P070]	714,0		725,0	11
[P071]	725,0		739,0	14
[P072]	739,0		756,0	17
[P073]	756,0		776,0	20
[P074]	776,0		779,0	3
[P075]	779,0		785,0	6
[P076]	785,0		794,0	9
[P077]	794,0		806,0	12
[P078]	806,0		821,0	15
[P079]	821,0		839,0	18
[P080]	839,0		840,0	1
[P081]	840,0		844,0	4
[P082]	844,0		851,0	7
[P083]	851,0		861,0	10
[P084]	861,0		874,0	13
[P085]	874,0		890,0	16
[P086]	890,0		909,0	19
[P087]	909,0		911,0	2
[P088]	911,0		916,0	5
[P089]	916,0		924,0	8
[P090]	924,0		935,0	11
[P091]	935,0		949,0	14
[P092]	949,0		966,0	17
[P093]	966,0		986,0	20
[P094]	986,0		989,0	3
[P095]	989,0		995,0	6
[P096]	995,0		1004,0	9
[P097]	1004,0		1016,0	12
[P098]	1016,0		1031,0	15
[P099]	1031,0		1049,0	18
[P100]	1049,0		1050,0	1
--------------------------------------------------
b) Bekleme Suresi (WT) -> Ort: 418,0000, Max: 851,0000
c) Turnaround Time (TAT) -> Ort: 428,5000, Max: 853,0000
d) Throughput -> T=50:5, T=100:10, T=150:14, T=200:18
e) CPU Verimliligi: %100,00
f) Toplam Baglam Degistirme (CS): 0
