ALGORITMA: Priority Non-Preemptive
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P001]	0,0		4,0	4
[P002]	4,0		11,0	7
[P004]	11,0		24,0	13
[P007]	24,0		26,0	2
[P010]	26,0		37,0	11
[P013]	37,0		57,0	20
[P016]	57,0		66,0	9
[P019]	66,0		84,0	18
[P022]	84,0		91,0	7
[P025]	91,0		107,0	16
[P028]	107,0		112,0	5
[P031]	112,0		126,0	14
[P034]	126,0		129,0	3
[P037]	129,0		141,0	12
[P040]	141,0		142,0	1
[P043]	142,0		152,0	10
[P046]	152,0		171,0	19
[P049]	171,0		179,0	8
[P052]	179,0		196,0	17
[P055]	196,0		202,0	6
[P058]	202,0		217,0	15
[P061]	217,0		221,0	4
[P064]	221,0		234,0	13
[P067]	234,0		236,0	2
[P070]	236,0		247,0	11
[P073]	247,0		267,0	20
[P076]	267,0		276,0	9
[P079]	276,0		294,0	18
[P082]	294,0		301,0	7
[P085]	301,0		317,0	16
[P088]	317,0		322,0	5
[P091]	322,0		336,0	14
[P094]	336,0		339,0	3
[P097]	339,0		351,0	12
[P100]	351,0		352,0	1
[P005]	352,0		368,0	16
[P008]	368,0		373,0	5
[P011]	373,0		387,0	14
[P014]	387,0		390,0	3
[P017]	390,0		402,0	12
[P020]	402,0		403,0	1
[P023]	403,0		413,0	10
[P026]	413,0		432,0	19
[P029]	432,0		440,0	8
[P032]	440,0		457,0	17
[P035]	457,0		463,0	6
[P038]	463,0		478,0	15
[P041]	478,0		482,0	4
[P044]	482,0		495,0	13
[P047]	495,0		497,0	2
[P050]	497,0		508,0	11
[P053]	508,1		528,1	20
[P056]	528,1		537,1	9
[P059]	537,1		555,1	18
[P062]	555,1		562,1	7
[P065]	562,1		578,1	16
[P068]	578,1		583,1	5
[P071]	583,1		597,1	14
[P074]	597,1		600,1	3
[P077]	600,1		612,1	12
[P080]	612,1		613,1	1
[P083]	613,1		623,1	10
[P086]	623,1		642,1	19
[P089]	642,1		650,1	8
[P092]	650,1		667,1	17
[P095]	667,1		673,1	6
[P098]	673,1		688,1	15
[P003]	688,1		698,1	10
[P006]	698,1		717,1	19
[P009]	717,1		725,1	8
[P012]	725,1		742,1	17
[P015]	742,1		748,1	6
[P018]	748,1		763,1	15
[P021]	763,1		767,1	4
[P024]	767,1		780,1	13
[P027]	780,1		782,1	2
[P030]	782,1		793,1	11
[P033]	793,1		813,1	20
[P036]	813,1		822,1	9
[P039]	822,1		840,1	18
[P042]	840,1		847,1	7
[P045]	847,1		863,1	16
[P048]	863,1		868,1	5
[P051]	868,1		882,1	14
[P054]	882,1		885,1	3
[P057]	885,1		897,1	12
[P060]	897,1		898,1	1
[P063]	898,1		908,1	10
[P066]	908,1		927,1	19
[P069]	927,1		935,1	8
[P072]	935,1		952,1	17
[P075]	952,1		958,1	6
[P078]	958,1		973,1	15
[P081]	973,1		977,1	4
[P084]	977,1		990,1	13
[P087]	990,1		992,1	2
[P090]	992,1		1003,1	11
[P093]	1003,1		1023,1	20
[P096]	1023,1		1032,1	9
[P099]	1032,1		1050,1	18
--------------------------------------------------
b) Bekleme Suresi (WT) -> Ort: 409,6795, Max: 836,0990
c) Turnaround Time (TAT) -> Ort: 420,1795, Max: 854,0990
d) Throughput -> T=50:5, T=100:9, T=150:15, T=200:19
e) CPU Verimliligi: %99,98
f) Toplam Baglam Degistirme (CS): 99
