ALGORITMA: Priority Preemptive
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P001]	0,0		4,0	4
[P004]	6,0		19,0	13
[P007]	19,0		21,0	2
[P010]	21,0		32,0	11
[P013]	32,0		52,0	20
[P016]	52,0		61,0	9
[P019]	61,0		79,0	18
[P022]	79,0		86,0	7
[P025]	86,0		102,0	16
[P028]	102,0		107,0	5
[P031]	107,0		121,0	14
[P034]	121,0		124,0	3
[P037]	124,0		136,0	12
[P040]	136,0		137,0	1
[P043]	137,0		147,0	10
[P046]	147,0		166,0	19
[P049]	166,0		174,0	8
[P052]	174,0		191,0	17
[P055]	191,0		197,0	6
[P058]	197,0		212,0	15
[P061]	212,0		216,0	4
[P064]	216,0		229,0	13
[P067]	229,0		231,0	2
[P070]	231,0		242,0	11
[P073]	242,0		262,0	20
[P076]	262,0		271,0	9
[P079]	271,0		289,0	18
[P082]	289,0		296,0	7
[P085]	296,0		312,0	16
[P088]	312,0		317,0	5
[P091]	317,0		331,0	14
[P094]	331,0		334,0	3
[P097]	334,0		346,0	12
[P100]	346,0		347,0	1
[P002]	4,0		352,0	7
[P005]	352,0		368,0	16
[P008]	368,0		373,0	5
[P011]	373,0		387,0	14
[P014]	387,0		390,0	3
[P017]	390,0		402,0	12
[P020]	402,0		403,0	1
[P023]	403,0		413,0	10
[P026]	413,0		432,0	19
[P029]	432,0		440,0	8
[P032]	440,0		457,0	17
[P035]	457,0		463,0	6
[P038]	463,0		478,0	15
[P041]	478,0		482,0	4
[P044]	482,0		495,0	13
[P047]	495,0		497,0	2
[P050]	497,0		508,0	11
[P053]	508,0		528,0	20
[P056]	528,0		537,0	9
[P059]	537,0		555,0	18
[P062]	555,0		562,0	7
[P065]	562,0		578,0	16
[P068]	578,0		583,0	5
[P071]	583,0		597,0	14
[P074]	597,0		600,0	3
[P077]	600,0		612,0	12
[P080]	612,0		613,0	1
[P083]	613,0		623,0	10
[P086]	623,0		642,0	19
[P089]	642,0		650,0	8
[P092]	650,0		667,0	17
[P095]	667,0		673,0	6
[P098]	673,0		688,0	15
[P003]	688,0		698,0	10
[P006]	698,0		717,0	19
[P009]	717,0		725,0	8
[P012]	725,0		742,0	17
[P015]	742,0		748,0	6
[P018]	748,0		763,0	15
[P021]	763,0		767,0	4
[P024]	767,0		780,0	13
[P027]	780,0		782,0	2
[P030]	782,0		793,0	11
[P033]	793,0		813,0	20
[P036]	813,0		822,0	9
[P039]	822,0		840,0	18
[P042]	840,0		847,0	7
[P045]	847,0		863,0	16
[P048]	863,0		868,0	5
[P051]	868,0		882,0	14
[P054]	882,0		885,0	3
[P057]	885,0		897,0	12
[P060]	897,0		898,0	1
[P063]	898,0		908,0	10
[P066]	908,0		927,0	19
[P069]	927,0		935,0	8
[P072]	935,0		952,0	17
[P075]	952,0		958,0	6
[P078]	958,0		973,0	15
[P081]	973,0		977,0	4
[P084]	977,0		990,0	13
[P087]	990,0		992,0	2
[P090]	992,0		1003,0	11
[P093]	1003,0		1023,0	20
[P096]	1023,0		1032,0	9
[P099]	1032,0		1050,0	18
--------------------------------------------------
b) Bekleme Suresi (WT) -> Ort: 411,3910, Max: 836,0010
c) Turnaround Time (TAT) -> Ort: 421,8910, Max: 854,0010
d) Throughput -> T=50:4, T=100:8, T=150:15, T=200:19
e) CPU Verimliligi: %100,00
f) Toplam Baglam Degistirme (CS): 1
