ALGORITMA: Round Robin
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P001]	0,0		4,0	4
[P002]	4,0		26,0	7
[P007]	31,0		33,0	2
[P008]	33,0		38,0	5
[P003]	9,0		43,0	10
[P014]	78,0		81,0	3
[P020]	111,0		112,0	1
[P021]	112,0		116,0	4
[P009]	43,0		139,0	8
[P027]	144,0		146,0	2
[P028]	151,0		156,0	5
[P004]	14,0		169,0	13
[P034]	189,0		192,0	3
[P040]	227,1		228,1	1
[P041]	233,1		237,1	4
[P015]	81,0		253,1	6
[P016]	86,0		267,1	9
[P047]	267,1		269,1	2
[P048]	269,1		274,1	5
[P054]	309,1		312,1	3
[P060]	347,1		348,1	1
[P061]	348,1		352,1	4
[P022]	116,0		354,1	7
[P023]	121,0		374,1	10
[P067]	389,1		391,1	2
[P068]	391,1		396,1	5
[P074]	431,1		434,1	3
[P010]	48,0		445,1	11
[P080]	460,1		461,1	1
[P081]	461,1		465,1	4
[P029]	156,0		468,1	8
[P087]	498,1		500,1	2
[P088]	500,1		505,1	5
[P011]	58,0		544,1	14
[P094]	544,1		547,1	3
[P035]	192,0		578,1	6
[P100]	578,1		579,1	1
[P036]	202,0		588,1	9
[P005]	19,0		609,1	16
[P042]	237,1		611,1	7
[P043]	242,1		616,1	10
[P049]	274,1		634,1	8
[P006]	26,0		638,1	19
[P017]	96,0		650,1	12
[P018]	101,0		665,2	15
[P055]	317,1		666,2	6
[P056]	322,1		670,2	9
[P062]	354,1		692,2	7
[P063]	359,1		697,2	10
[P024]	126,0		715,2	13
[P069]	396,1		718,2	8
[P075]	434,1		749,2	6
[P076]	439,1		753,2	9
[P082]	468,1		770,2	7
[P083]	473,1		775,2	10
[P030]	161,0		781,2	11
[P031]	169,0		795,2	14
[P089]	510,1		798,2	8
[P095]	547,1		824,2	6
[P096]	557,1		833,2	9
[P012]	63,0		850,2	17
[P037]	207,0		852,2	12
[P013]	68,0		857,2	20
[P038]	217,0		862,2	15
[P044]	247,1		870,2	13
[P050]	284,1		881,2	11
[P051]	289,1		885,2	14
[P019]	106,0		898,2	18
[P057]	332,1		900,2	12
[P058]	337,1		905,2	15
[P064]	364,1		913,2	13
[P025]	131,0		924,2	16
[P070]	406,1		925,2	11
[P071]	411,1		929,2	14
[P026]	139,0		943,2	19
[P077]	445,1		945,2	12
[P078]	450,1		950,2	15
[P084]	478,1		958,2	13
[P090]	515,1		969,2	11
[P032]	174,0		971,2	17
[P091]	525,1		975,2	14
[P033]	184,0		990,2	20
[P097]	562,1		992,2	12
[P098]	567,1		997,2	15
[P039]	222,0		1005,2	18
[P045]	253,1		1006,2	16
[P046]	258,1		1010,2	19
[P052]	299,1		1012,2	17
[P053]	304,1		1017,2	20
[P059]	342,1		1020,2	18
[P065]	374,1		1021,2	16
[P066]	379,1		1025,2	19
[P072]	416,1		1027,2	17
[P073]	421,1		1032,2	20
[P079]	455,1		1035,2	18
[P085]	488,1		1036,2	16
[P086]	493,1		1040,2	19
[P092]	530,1		1042,2	17
[P093]	535,1		1047,2	20
[P099]	572,1		1050,2	18
--------------------------------------------------
b) Bekleme Suresi (WT) -> Ort: 547,1416, Max: 911,2350
c) Turnaround Time (TAT) -> Ort: 557,6416, Max: 929,2350
d) Throughput -> T=50:5, T=100:6, T=150:10, T=200:13
e) CPU Verimliligi: %99,95
f) Toplam Baglam Degistirme (CS): 249
