ALGORITMA: SJF Preemptive
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P001]	0,0		4,0	4
[P002]	4,0		11,0	7
[P007]	12,0		14,0	2
[P008]	14,0		19,0	5
[P009]	19,0		27,0	8
[P014]	27,0		30,0	3
[P015]	30,0		36,0	6
[P020]	38,0		39,0	1
[P021]	40,0		44,0	4
[P003]	11,0		50,0	10
[P027]	52,0		54,0	2
[P028]	54,0		59,0	5
[P022]	50,0		64,0	7
[P034]	66,0		69,0	3
[P035]	69,0		75,0	6
[P040]	78,0		79,0	1
[P029]	64,0		82,0	8
[P041]	82,0		86,0	4
[P042]	86,0		93,0	7
[P047]	93,0		95,0	2
[P048]	95,0		100,0	5
[P049]	100,0		108,0	8
[P054]	108,0		111,0	3
[P055]	111,0		117,0	6
[P060]	118,0		119,0	1
[P061]	120,0		124,0	4
[P062]	124,0		131,0	7
[P067]	132,0		134,0	2
[P068]	134,0		139,0	5
[P016]	117,0		145,0	9
[P074]	146,0		149,0	3
[P075]	149,0		155,0	6
[P080]	158,0		159,0	1
[P069]	145,0		163,0	8
[P081]	163,0		167,0	4
[P087]	172,0		174,0	2
[P082]	167,0		176,0	7
[P088]	176,0		181,0	5
[P094]	186,0		189,0	3
[P089]	181,0		192,0	8
[P095]	192,0		198,0	6
[P100]	198,0		199,0	1
[P036]	199,0		208,0	9
[P056]	208,0		217,0	9
[P076]	217,0		226,0	9
[P096]	226,0		235,0	9
[P023]	235,0		245,0	10
[P043]	245,0		255,0	10
[P063]	255,0		265,0	10
[P083]	265,0		275,0	10
[P010]	275,0		286,0	11
[P030]	286,0		297,0	11
[P050]	297,0		308,0	11
[P070]	308,0		319,0	11
[P090]	319,0		330,0	11
[P017]	330,0		342,0	12
[P037]	342,0		354,0	12
[P057]	354,0		366,0	12
[P077]	366,0		378,0	12
[P097]	378,0		390,0	12
[P004]	390,0		403,0	13
[P024]	403,0		416,0	13
[P044]	416,0		429,0	13
[P064]	429,0		442,0	13
[P084]	442,0		455,0	13
[P011]	455,0		469,0	14
[P031]	469,0		483,0	14
[P051]	483,0		497,0	14
[P071]	497,0		511,0	14
[P091]	511,0		525,0	14
[P018]	525,0		540,0	15
[P038]	540,0		555,0	15
[P058]	555,0		570,0	15
[P078]	570,0		585,0	15
[P098]	585,0		600,0	15
[P005]	600,0		616,0	16
[P025]	616,0		632,0	16
[P045]	632,0		648,0	16
[P065]	648,0		664,0	16
[P085]	664,0		680,0	16
[P012]	680,0		697,0	17
[P032]	697,0		714,0	17
[P052]	714,0		731,0	17
[P072]	731,0		748,0	17
[P092]	748,0		765,0	17
[P019]	765,0		783,0	18
[P039]	783,0		801,0	18
[P059]	801,0		819,0	18
[P079]	819,0		837,0	18
[P099]	837,0		855,0	18
[P006]	855,0		874,0	19
[P026]	874,0		893,0	19
[P046]	893,0		912,0	19
[P066]	912,0		931,0	19
[P086]	931,0		950,0	19
[P013]	950,0		970,0	20
[P033]	970,0		990,0	20
[P053]	990,0		1010,0	20
[P073]	1010,0		1030,0	20
[P093]	1030,0		1050,0	20
--------------------------------------------------
b) Bekleme Suresi (WT) -> Ort: 267,8692, Max: 926,0130
c) Turnaround Time (TAT) -> Ort: 278,3692, Max: 946,0130
d) Throughput -> T=50:9, T=100:20, T=150:31, T=200:42
e) CPU Verimliligi: %100,00
f) Toplam Baglam Degistirme (CS): 13
